한글종목명,해당일종가,현재가,전일대비구분,전일대비,전일대비율,종가 전일대비구분,종가 전일대비,종가 전일대비율,연속일,거래강도,누적거래량,업종구분,매도총호가수량,매도총호가수량,매도1호가,매도1호가,매도 1호가 수량,매도1호가 수량,날짜
포인트엔지니어링                        ,2980,2060,5,20,-0.96,1,685,29.85,1,167.51,91221,1,7034,41953,2065,2055,328,27,20190413
차이나그레이트                          ,488,518,0,0,0,1,112,29.79,1,0,0,1,0,0,0,0,0,0,20190413
모바일리더                              ,17150,22600,2,600,2.73,1,3950,29.92,1,71.78,28876,1,4973,3017,22650,22600,578,1077,20190414
스킨앤스킨                              ,655,327,2,9,2.83,1,151,29.96,1,26.43,312632,1,59056,41853,327,323,5553,4967,20190414
포인트엔지니어링                        ,2980,2060,5,20,-0.96,1,685,29.85,1,167.51,91221,1,7034,41953,2065,2055,328,27,20190414
차이나그레이트                          ,488,518,0,0,0,1,112,29.79,1,0,0,1,0,0,0,0,0,0,20190414
모바일리더                              ,17150,22600,2,600,2.73,1,3950,29.92,1,71.78,28876,1,4973,3017,22650,22600,578,1077,20190415
스킨앤스킨                              ,655,327,2,9,2.83,1,151,29.96,1,26.43,312632,1,59056,41853,327,323,5553,4967,20190415
포인트엔지니어링                        ,2980,2060,5,20,-0.96,1,685,29.85,1,167.51,91221,1,7034,41953,2065,2055,328,27,20190415
차이나그레이트                          ,488,518,0,0,0,1,112,29.79,1,0,0,1,0,0,0,0,0,0,20190415
큐캐피탈                                ,865,581,5,5,-0.85,1,199,29.88,1,35.76,1658523,1,212587,58820,581,580,2100,6781,20190416
키이스트                                ,4425,2770,2,65,2.4,1,1020,29.96,1,343.56,2663284,1,172922,120270,2770,2765,7415,8514,20190416
차이나그레이트                          ,634,518,0,0,0,1,146,29.92,2,0,0,1,0,0,0,0,0,0,20190416
덱스터                                  ,9070,8540,2,20,0.23,1,2090,29.94,1,58.87,651406,1,12897,30118,8550,8540,3960,911,20190417
SM Life Design                          ,2515,2345,2,45,1.96,1,580,29.97,1,86.71,6472241,1,244385,256983,2350,2345,851,965,20190418
이글벳                                  ,5440,7040,2,260,3.83,1,1250,29.83,1,124.48,1495143,1,42154,29564,7040,7030,3022,3078,20190419
동일철강                                ,5720,3970,2,10,0.25,1,1315,29.85,1,77.51,6399,1,3680,2101,3970,3965,63,5,20190423
